x,open,high,low,close
2014-08-08T00:00:00.000,5237.5,5237.5,5175,5175
2014-08-11T00:00:00.000,5200,5300,5175,5187.5
2014-08-12T00:00:00.000,5250,5262.5,5187.5,5187.5
2014-08-13T00:00:00.000,5225,5287.5,5225,5250
2014-08-14T00:00:00.000,5287.5,5287.5,5225,5225
2014-08-15T00:00:00.000,5275,5275,5200,5237.5
2014-08-18T00:00:00.000,5262.5,5262.5,5125,5225
2014-08-19T00:00:00.000,5225,5225,5087.5,5112.5
2014-08-20T00:00:00.000,5112.5,5162.5,5100,5137.5
2014-08-21T00:00:00.000,5137.5,5162.5,5075,5125
2014-08-22T00:00:00.000,5150,5162.5,5050,5050
2014-08-25T00:00:00.000,5050,5162.5,5050,5150
2014-08-26T00:00:00.000,5100,5150,5100,5137.5
2014-08-27T00:00:00.000,5175,5300,5162.5,5250
2014-08-28T00:00:00.000,5287.5,5300,5250,5275
2014-08-29T00:00:00.000,5275,5300,5250,5250
2014-09-01T00:00:00.000,5250,5450,5250,5450
2014-09-02T00:00:00.000,5387.5,5450,5387.5,5450
2014-09-03T00:00:00.000,5450,5487.5,5437.5,5475
2014-09-04T00:00:00.000,5437.5,5475,5437.5,5450
2014-09-05T00:00:00.000,5450,5475,5437.5,5450
2014-09-08T00:00:00.000,5500,5500,5437.5,5487.5
2014-09-09T00:00:00.000,5450,5450,5350,5425
2014-09-10T00:00:00.000,5350,5425,5300,5387.5
2014-09-11T00:00:00.000,5362.5,5437.5,5325,5325
2014-09-12T00:00:00.000,5362.5,5700,5362.5,5637.5
2014-09-15T00:00:00.000,5637.5,5637.5,5512.5,5625
2014-09-16T00:00:00.000,5650,5650,5487.5,5487.5
2014-09-17T00:00:00.000,5575,5612.5,5525,5600
2014-09-18T00:00:00.000,5650,5650,5525,5612.5
2014-09-19T00:00:00.000,5637.5,5700,5625,5650
2014-09-22T00:00:00.000,5687.5,5687.5,5575,5600
2014-09-25T00:00:00.000,5650,5650,5512.5,5575
2014-09-26T00:00:00.000,5425,5650,5425,5650
2014-09-29T00:00:00.000,5650,5675,5525,5675
2014-09-30T00:00:00.000,5575,5700,5537.5,5675
2014-10-01T00:00:00.000,5675,5675,5550,5600
2014-10-03T00:00:00.000,5500,5500,5375,5475
2014-10-06T00:00:00.000,5600,5600,5400,5462.5
2014-10-07T00:00:00.000,5462.5,5562.5,5250,5425
2014-10-08T00:00:00.000,5425,5487.5,5300,5300
2014-10-09T00:00:00.000,5362.5,5537.5,5362.5,5537.5
2014-10-10T00:00:00.000,5475,5575,5412.5,5550
2014-10-13T00:00:00.000,5512.5,5525,5475,5512.5
2014-10-14T00:00:00.000,5500,5562.5,5500,5512.5
2014-10-15T00:00:00.000,5600,5712.5,5525,5700
2014-10-16T00:00:00.000,5575,5712.5,5525,5662.5
2014-10-17T00:00:00.000,5662.5,5787.5,5600,5700
2014-10-20T00:00:00.000,5725,5750,5500,5500
2014-10-21T00:00:00.000,5600,5675,5537.5,5662.5
2014-10-22T00:00:00.000,5687.5,5700,5587.5,5587.5
2014-10-23T00:00:00.000,5650,5712.5,5600,5687.5
2014-10-24T00:00:00.000,5687.5,5725,5675,5700
2014-10-27T00:00:00.000,5700,5700,5400,5550
2014-10-28T00:00:00.000,5500,5550,5425,5450
2014-10-29T00:00:00.000,5500,5550,5475,5525
2014-10-30T00:00:00.000,5500,5550,5487.5,5500
2014-10-31T00:00:00.000,5500,5612.5,5262.5,5525
2014-11-03T00:00:00.000,5525,5537.5,5475,5500
2014-11-04T00:00:00.000,5500,5500,5437.5,5450
2014-11-05T00:00:00.000,5425,5500,5412.5,5425
2014-11-06T00:00:00.000,5412.5,5475,5400,5400
2014-11-07T00:00:00.000,5400,5537.5,5400,5500
2014-11-10T00:00:00.000,5537.5,5537.5,5450,5525
